,지역,활동내용,가격,활동구분,평점,후기 수,위도,경도
221,경상북도,[골프/경북] 구미CC & 팔공CC,"270,000원",골프,,,36.16935,128.48648
222,경상북도,[골프/경북] 구미CC,"245,000원",골프,,,36.16935,128.48648
223,경상북도,[골프/경북] 경산 대구CC,"330,000원",골프,,,35.8711,128.81104
224,경상북도,[골프/경북] 경산 인터불고CC & 대구CC,"340,000원",골프,,,35.79604,128.76271
225,경상북도,[골프/경북] 경산 인터불고CC,"360,000원",골프,,,35.79604,128.76271
226,경상북도,[골프/경북] 경산 대구CC & 팔공CC,"315,000원",골프,,,35.8711,128.81104
227,경상북도,[골프/경북] 경산 인터불고 CC& 팔공 CC,"325,000원",골프,,,35.79604,128.76271
228,경상남도,[골프/경남] 함양 장수CC & 스카이뷰GC - 별도문의,"169,000원",골프,,,35.68802,127.7169
229,경상남도,[골프/경남]  거제뷰CC,"230,000원",골프,,,34.8808,128.58917
230,경상남도,[골프/경남] 고성 노벨CC,"265,000원",골프,,,35.07011,128.40544
231,경상남도,[골프/경남] 합천 아델스코트CC,"235,000원",골프,,,35.70077,128.08564
232,경상남도,[골프/경남] 드비치CC&거제뷰CC,"300,000원",골프,,,35.01601,128.67392
233,경상남도,[골프/경남] 사천 타니CC,"240,000원",골프,,,35.09956,128.01597
234,경상북도,[골프/경북] 영덕 오션비치CC,"233,000원",골프,,,36.33981,129.37387
235,대구,[대구 동구] 대구 아이스파크,"9,000원",실내이색체험,,,35.89,128.65
236,경상북도,[경북/울릉도] 울릉도 스쿠버 다이빙 체험 다이빙(학포 해수욕장),"105,000원",수중체험,,,37.50944,130.80379
237,제주도,[서귀포] 윈드카트 1947 이용권,"16,000원",카트/루지,4.6,171,33.2892,126.58764
238,제주도,[서귀포] 대유 ATV 수렵 사격랜드 (권총 사격/클레이 사격/ATV),"9,900원",실외이색체험,4.6,36,33.27794,126.39535
239,제주도,[서귀포] 제주 실탄 사격장 이용권,"8,000원",실외이색체험,4.7,70,33.26407,126.38521
240,제주도,[중문] 그랑블루요트 선셋 요트투어 (낚시 체험),"28,000원",요트/서핑/보트,4.9,21,33.23841,126.43956
241,제주도,[서귀포] 세리월드 : 카트 1인승,"12,500원",카트/루지,4.5,54,33.24727,126.51222
242,제주도,[대정] 인생 첫 낚시 입문!  채비부터 잡는 노하우까지~ 아름다운 연안에서 낚시하기!,"60,000원",낚시,4.9,29,33.24887,126.20038
243,제주도,"[성산] 뷰 제주하늘(구, 제주랜드) : 승마 오름트래킹코스","34,000원",승마/트레킹,4.5,59,33.41871,126.82934
244,제주도,[서귀포] 서귀포잠수함 ,"35,000원",수중체험,4.4,40,33.23943,126.55865
245,제주도,[구좌] 레일바이크 - 용눈이오름 ,"9,800원",승마/트레킹,4.2,147,33.46297,126.83096
