,name,type,review,area
254,Hello K Cooking Class,행사/투어,159.0,서울
255,팔달문,즐길거리/랜드마크,159.0,경기도
256,새연교,즐길거리/랜드마크,158.0,제주도
257,교보문고 광화문,쇼핑몰/백화점,158.0,서울
258,월정리해변,자연/공원,158.0,제주도
259,아바이마을,행사/투어,157.0,강원도
260,누리마루 APEC 하우스,즐길거리/랜드마크,156.0,부산
261,해운대 시장,쇼핑몰/백화점,156.0,부산
262,통인시장,쇼핑몰/백화점,155.0,서울
263,롯데월드 아쿠아리움,테마파크/게임,154.0,서울
264,스파온에어,즐길거리/랜드마크,154.0,인천
265,헤이리 예술 마을,,153.0,경기도
266,서면 지하도상가,쇼핑몰/백화점,151.0,부산
267,삼성 딜라이트,쇼핑몰/백화점,151.0,서울
268,해녀 박물관,전시/극장/공연,150.0,제주도
269,경주역사유적지구,즐길거리/랜드마크,148.0,경상북도
270,운현궁,즐길거리/랜드마크,148.0,서울
271,서울 시립 미술관,전시/극장/공연,145.0,서울
272,화홍문,즐길거리/랜드마크,145.0,경기도
273,플레이케이팝,테마파크/게임,145.0,제주도
274,정동진,자연/공원,143.0,강원도
275,송정해수욕장,자연/공원,142.0,부산
276,한라산 성판악,자연/공원,141.0,제주도
277,케이밴리모,교통서비스,141.0,서울
278,코어트래블,행사/투어,140.0,제주도
279,경주 교촌마을,즐길거리/랜드마크,140.0,경상북도
280,송월동동화마을,즐길거리/랜드마크,140.0,인천
281,코리아 타임 투어,행사/투어,139.0,서울
282,노바랜드 투어스,행사/투어,138.0,서울
283,하나 투어 ITC - 당일 투어,행사/투어,138.0,서울
284,라인프렌즈 플래그십 스토어 명동역점,쇼핑몰/백화점,137.0,서울
285,월미도,자연/공원,137.0,인천
286,헬로 키티 아일랜드,전시/극장/공연,136.0,제주도
287,휘닉스 스노우 파크,테마파크/게임,134.0,강원도
288,부전시장,시장,133.0,부산
289,금정 산성,즐길거리/랜드마크,133.0,부산
290,오륙도,자연/공원,133.0,부산
291,율동 공원,자연/공원,133.0,경기도
292,서울 광장,즐길거리/랜드마크,132.0,서울
293,러브뮤지엄,전시/극장/공연,131.0,서울
294,상해거리,즐길거리/랜드마크,131.0,부산
295,허심청,즐길거리/랜드마크,130.0,부산
296,다대포 해수욕장,자연/공원,128.0,부산
297,송악산,자연/공원,128.0,제주도
298,서울 대학로,즐길거리/랜드마크,128.0,서울
299,서울랜드,테마파크/게임,127.0,경기도
300,서울중앙성원,즐길거리/랜드마크,127.0,서울
301,경희대학교 서울캠퍼스,즐길거리/랜드마크,127.0,서울
302,부산 시립 미술관,전시/극장/공연,126.0,부산
303,송도 스카이워크,자연/공원,125.0,부산
304,권금성,즐길거리/랜드마크,124.0,강원도
305,영화의 전당,전시/극장/공연,124.0,부산
306,오죽헌,전시/극장/공연,123.0,강원도
307,영도대교,즐길거리/랜드마크,123.0,부산
308,카멜리아힐,자연/공원,122.0,제주도
309,40계단 문화관광테마거리,즐길거리/랜드마크,120.0,부산
310,대한민국 역사 박물관,전시/극장/공연,120.0,서울
311,탑골 공원,자연/공원,118.0,서울
312,춘천명동닭갈비골목,즐길거리/랜드마크,117.0,강원도
313,대포항,즐길거리/랜드마크,117.0,강원도
314,신포국제시장,시장,117.0,인천
315,경희궁,즐길거리/랜드마크,117.0,서울
316,용인대장금파크,테마파크/게임,117.0,경기도
317,세븐럭 카지노 부산 롯데점,테마파크/게임,116.0,부산
318,삼청각,즐길거리/랜드마크,116.0,서울
319,더베이요트클럽,즐길거리/랜드마크,116.0,부산
320,신흥사,즐길거리/랜드마크,115.0,강원도
321,얼티미트 코리아 투어,행사/투어,115.0,서울
322,롯데 영플라자 명동점,쇼핑몰/백화점,115.0,서울
323,제주 중앙지하상가,쇼핑몰/백화점,115.0,제주도
324,제주 절물 자연 휴양림,자연/공원,115.0,제주도
325,인천 대공원,자연/공원,115.0,인천
326,두물머리,자연/공원,114.0,경기도
327,세븐럭카지노 강남코엑스점,테마파크/게임,114.0,서울
328,중부시장,시장,114.0,서울
329,투어스 바이 아론 - 당일 투어,행사/투어,114.0,서울
330,춘천 명동거리,즐길거리/랜드마크,114.0,강원도
331,기장시장,시장,113.0,부산
332,전등사,즐길거리/랜드마크,112.0,인천
333,디큐브시브,쇼핑몰/백화점,112.0,서울
334,테지움 제주,테마파크/게임,112.0,제주도
335,롯데백화점부산본점,쇼핑몰/백화점,109.0,부산
336,서귀포 잠수함,행사/투어,109.0,제주도
337,해우재,즐길거리/랜드마크,109.0,경기도
338,동대문 시장 생선구이 골목,즐길거리/랜드마크,109.0,서울
339,GSM테라스,즐길거리/랜드마크,108.0,서울
340,인천 상륙 작전 기념관,전시/극장/공연,108.0,인천
341,비발디파크 오션월드,테마파크/게임,105.0,강원도
342,낙산 공공 미술,즐길거리/랜드마크,104.0,서울
343,오대산 월정사,즐길거리/랜드마크,103.0,강원도
344,정자동카페골목,즐길거리/랜드마크,103.0,경기도
345,부산 시민공원,자연/공원,103.0,부산
346,스파렉스 동대문점,즐길거리/랜드마크,103.0,서울
347,아이파크몰,쇼핑몰/백화점,103.0,서울
348,부산대학교 대학로,즐길거리/랜드마크,101.0,부산
349,서면 먹자 골목,즐길거리/랜드마크,100.0,부산
350,앱솔루트 서울 펍 크롤,행사/투어,100.0,서울
351,마장 축산물시장,시장,100.0,서울
352,펀타시 트립,행사/투어,99.0,제주도
353,원마운트 워터 파크,테마파크/게임,99.0,경기도
354,오두산통일전망대,전망대,99.0,경기도
355,죽도 시장,시장,99.0,경상북도
356,이니스프리 제주하우스점,쇼핑몰/백화점,98.0,제주도
357,서울 에스케이프 룸 홍대점,테마파크/게임,98.0,서울
358,대관령 삼양목장,자연/공원,98.0,강원도
359,국립국악원,전시/극장/공연,98.0,서울
360,이중섭 미술관,전시/극장/공연,97.0,제주도
361,월영교,즐길거리/랜드마크,96.0,경상북도
362,송도해상케이블카,전망대,96.0,부산
363,광명동굴,자연/공원,96.0,경기도
364,메이즈랜드,자연/공원,95.0,제주도
365,뮤지엄 산,전시/극장/공연,94.0,강원도
366,제주난타,전시/극장/공연,94.0,제주도
367,금강 공원,자연/공원,94.0,부산
368,삼성이노베이션뮤지엄,전시/극장/공연,94.0,경기도
369,파라다이스 카지노 워커힐,테마파크/게임,94.0,서울
370,오션 700,테마파크/게임,93.0,강원도
