랭킹	지역	상호명	업종	주소	경도	위도
6971	제주	마초네	기타/세계	제주 제주시 우도면	126.9554783	33.5054232
6972	서울	8b DOLCE	카페/주점	강남구 신사동	127.0265061	37.5238058
6973	제주	산방식당	한식	제주 서귀포시 대정읍	126.2470481	33.2564443
6974	서울	피에르가니에르(Pierre Gagnaire)	양식	서울시 중구 소공동	126.9800604	37.5640777
6975	서울	카페마조앤새디 크레시티점	카페/주점	동대문구 전농1동	127.0477876	37.5779518
6976	충남	바로화덕치킨 두정점	패스트푸드	천안시 서북구 두정동	127.1433058	36.8334547
6977	서울	어퍼힐(UPPER HILL)	카페/주점	용산구 이태원1동	126.9950755	37.5324538
6978	서울	멜로우왈츠(Mellow Walts)	카페/주점	마포구 서교동	126.9187795	37.5538373
6979	서울	글로브라운지(GLOBE LOUNGE)	카페/주점	용산구 이태원동	126.9925274	37.5385142
6980	서울	노바이탈리아노	양식	동대문구 회기동	127.0514479	37.5937314
6981	서울	두모망(DOUXMOMENT)	카페/주점	마포구 서교동	126.9187795	37.5538373
6982	서울	호머(HOMER)	패스트푸드	용산구 한남동	127.0051795	37.5375402
6983	충남	안녕커피를부탁해	카페/주점	천안시 동남구 청당동	127.1536229	36.7802068
6984	서울	그바람에주식회사	베이커리	용산구 한남동	127.0051795	37.5375402
6985	서울	엘카페	카페/주점	마포구 서교동	126.9187795	37.5538373
6986	서울	돌쇠아저씨	분식	종로구 명륜동4가	126.9998865	37.5822321
6987	서울	피씬(piscine)	카페/주점	용산구 이태원동	126.9925274	37.5385142
6988	서울	문인더랩(Moon in the lab)	양식	마포구 망원동	126.8998549	37.5554916
6989	서울	코코스트레일러앤헛	기타/세계	송파구 신천동	127.0989767	37.5239214
6990	서울	더솥(THE솥)	한식	강남구 신사동	127.0265061	37.5238058
6991	서울	술있는부엌	카페/주점	은평구 대조동	126.9231557	37.612255
6992	서울	피에(pied)	카페/주점	용산구 한남동	127.0051795	37.5375402
6993	경기	끼니걱정	기타/세계	수원시 팔달구 장안동	127.0129262	37.2864882
6994	서울	리쉬스벨루(Richesse Velours)	카페/주점	용산구 한남동	127.0051795	37.5375402
6995	충남	올라(ola) 불당점	양식	천안시 서북구 불당동	127.1062963	36.8086528
6996	서울	그레이스톤(graystone)	카페/주점	성동구 성수동2가	127.0565313	37.540854
6997	제주	모앙	카페/주점	제주 제주시 노형동	126.4850955	33.448472
6998	서울	뺑프레(Pain frais)	베이커리	강남구 도곡동	127.0452819	37.4885928
6999	서울	테이크아웃드로잉	카페/주점	용산구 한남동	127.0051795	37.5375402
7000	서울	브로드웨이(BROADWAY)	뷔페	영등포구 여의도동	126.9284428	37.5286693
