,name,type,review,area
263,망원 한강공원,즐길거리 & 랜드마크 • 공원,12,서울
264,종로타워,즐길거리 & 랜드마크 • 전망대 & 타워,11,서울
265,3D블랙아트 박물관,전문 박물관,193,서울
266,공덕시장,벼룩시장 & 재래시장,8,서울
267,나이프갤러리,아트갤러리,6,서울
268,뚝섬 전망문화 콤플렉스 J-Bug,전망대 & 타워,9,서울
269,낙성대공원,공원,12,서울
270,북악산,산,4,서울
271,피크닉,도심,5,서울
272,해밀턴,쇼핑몰,9,서울
273,청담동 패션 거리,즐길거리 & 랜드마크,9,서울
274,북악팔각정,역사적인 장소 • 즐길거리 & 랜드마크,12,서울
275,눈스퀘어,백화점,9,서울
276,마로니에 공원,공원,32,서울
277,서울 시내버스,공공 교통시스템,19,서울
278,에스엠 엔터테인먼트 센터,쇼핑몰,3,서울
279,배재학당역사박물관,역사박물관,10,서울
280,독립문,역사적인 장소,39,서울
281,충무로 애완동물 거리,인근 지역,21,서울
282,마포아트센터,시어터,9,서울
283,소마미술관,아트뮤지엄,8,서울
284,경춘선숲길,즐길거리 & 랜드마크 • 경관이 좋은 산책로,7,서울
285,삼청공원,공원,13,서울
286,갤러리 현대,아트갤러리,7,서울
287,그랜드 마트,쇼핑몰,22,서울
288,김포공항 전망대,전망대 & 타워,16,서울
289,칠궁,역사적인 장소,5,서울
290,이리자 한복전시관,전문 박물관,4,서울
291,약현성당,교회 & 성당,12,서울
292,앙카라 공원,공원,2,서울
293,국제선센터,종교적인 장소,5,서울
294,서울창포원,가든,4,서울
295,화랑대역 - 폐역,즐길거리 & 랜드마크 • 건축물,6,서울
296,도선사,종교적인 장소,13,서울
297,양화진 외국인 선교사 묘원,묘지,14,서울
298,환기 미술관,아트뮤지엄,6,서울
299,성우이용원,역사적인 장소,2,서울
300,육군박물관,군사 박물관,7,서울
301,윤동주 문학관,역사박물관,8,서울
302,구러시아 공사관,역사적인 장소,13,서울
303,연세로,인근 지역,26,서울
304,서울시립미술관 남서울분관,아트뮤지엄,5,서울
305,이화벽화마을,즐길거리 & 랜드마크,6,서울
306,비보이 시티 인 서울 - 쿵 (홍대 전용관),시어터,6,서울
307,원각사지 10층석탑,고대 유적 • 건축물,20,서울
308,K현대미술관,아트뮤지엄,4,서울
309,암사동선사주거지 원시생활전시관,자연사 박물관,21,서울
310,서울 애니메이션 센터,전문 박물관,18,서울
311,영천시장,벼룩시장 & 재래시장,3,서울
312,올림픽공원 세계평화의문,즐길거리 & 랜드마크,8,서울
313,덕수궁 중명전,즐길거리 & 랜드마크,9,서울
314,목동종합운동장,아레나 & 경기장,13,서울
315,트릭 월드,전문 박물관,10,서울
316,혜화문 (홍화문),역사적인 장소,16,서울
317,종로포장마차거리,벼룩시장 & 재래시장,6,서울
318,강남스타일 말춤 무대,즐길거리 & 랜드마크,9,서울
319,덕수궁미술관,아트뮤지엄,10,서울
320,충정로 난타극장,시어터,9,서울
321,롯데몰 은평점,쇼핑몰,6,서울
322,종묘광장공원,공원,7,서울
323,서울대학교 미술관,아트뮤지엄,16,서울
324,북촌 문화 센터,즐길거리 & 랜드마크,14,서울
325,환구단,역사적인 장소,18,서울
326,오지엔 이 스포츠 스타디움,아레나 & 경기장,2,서울
327,스트리트뮤지엄,인근 지역 • 즐길거리 & 랜드마크,4,서울
328,문묘,역사적인 장소,12,서울
329,대각사,역사적인 장소,5,서울
